epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1625.67,1.34935,0.63701,1.16116,0.95095,0.92963,0.9853,0.60615,1.37807,0.6553,1.28956,0.000643101,0.000643101,0.000643101
43,1655.62,1.3499,0.62582,1.16303,0.92955,0.9726,0.98657,0.61476,1.37158,0.54239,1.26572,0.000628101,0.000628101,0.000628101
44,1685.52,1.32598,0.63084,1.15426,0.95749,0.92574,0.9865,0.62317,1.33741,0.57377,1.25983,0.000612981,0.000612981,0.000612981
45,1715.34,1.34956,0.61733,1.16197,0.95886,0.95791,0.98682,0.59851,1.4041,0.556,1.25752,0.000597754,0.000597754,0.000597754
46,1745.13,1.31773,0.62431,1.14661,0.94019,0.95205,0.98453,0.61726,1.34233,0.57548,1.25013,0.000582435,0.000582435,0.000582435
47,1775.14,1.31277,0.61642,1.14456,0.94447,0.93836,0.98295,0.60128,1.37596,0.58074,1.25992,0.00056704,0.00056704,0.00056704
48,1805,1.31823,0.62407,1.15557,0.96572,0.96487,0.98622,0.6086,1.36981,0.54302,1.261,0.000551584,0.000551584,0.000551584
49,1834.87,1.31658,0.62733,1.15135,0.91555,0.9726,0.98525,0.60549,1.34668,0.60861,1.26753,0.000536081,0.000536081,0.000536081
50,1864.8,1.31162,0.62316,1.16055,0.95301,0.93836,0.98642,0.61159,1.35516,0.53009,1.25208,0.000520548,0.000520548,0.000520548
51,1894.69,1.30624,0.60397,1.15781,0.95889,0.95853,0.98778,0.61154,1.39396,0.54027,1.26806,0.000505,0.000505,0.000505
52,1925.28,1.30851,0.61043,1.13596,0.97119,0.92347,0.98387,0.61039,1.36994,0.56201,1.26444,0.000489452,0.000489452,0.000489452
53,1955.33,1.30901,0.60424,1.12855,0.9465,0.96933,0.98843,0.61683,1.33892,0.51568,1.25091,0.000473919,0.000473919,0.000473919
54,1985.22,1.29645,0.59028,1.14631,0.95852,0.94961,0.98602,0.62303,1.34098,0.55209,1.23035,0.000458416,0.000458416,0.000458416
55,2015.33,1.29251,0.60309,1.15708,0.94704,0.9589,0.98725,0.62196,1.3369,0.5388,1.23836,0.00044296,0.00044296,0.00044296
56,2045.37,1.28863,0.58439,1.13179,0.95266,0.97945,0.98988,0.63552,1.33009,0.50269,1.23797,0.000427565,0.000427565,0.000427565
57,2075.38,1.30408,0.58932,1.15046,0.94803,0.95205,0.98736,0.61637,1.36766,0.53738,1.25547,0.000412246,0.000412246,0.000412246
58,2105.44,1.28951,0.57603,1.13694,0.94241,0.9589,0.98517,0.62809,1.3657,0.54322,1.24576,0.000397019,0.000397019,0.000397019
59,2135.38,1.27301,0.57183,1.14197,0.9563,0.9863,0.98194,0.61597,1.34324,0.52834,1.249,0.000381899,0.000381899,0.000381899
60,2167.49,1.24965,0.56502,1.1302,0.92702,0.9571,0.98225,0.61223,1.36591,0.59158,1.25677,0.000366899,0.000366899,0.000366899
61,2206.13,1.2775,0.56703,1.12225,0.9563,0.9589,0.98821,0.61802,1.37032,0.51739,1.26048,0.000352037,0.000352037,0.000352037
62,2244.65,1.28069,0.56909,1.12537,0.96384,0.95205,0.98911,0.61891,1.38496,0.53342,1.25674,0.000337325,0.000337325,0.000337325
63,2293.46,1.27203,0.56628,1.13214,0.97814,0.9589,0.98899,0.62387,1.34985,0.50714,1.23498,0.000322778,0.000322778,0.000322778
64,2331.9,1.22517,0.54601,1.10157,0.96187,0.94521,0.98264,0.62938,1.34628,0.54153,1.24528,0.000308412,0.000308412,0.000308412
65,2370.53,1.23828,0.55921,1.1095,0.95098,0.9726,0.98884,0.63443,1.31588,0.51205,1.22811,0.000294239,0.000294239,0.000294239
