epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.5858,1.88696,4.3837,1.44411,0.93746,0.90411,0.97475,0.55727,1.50218,0.8177,1.38144,0.067541,0.000327869,0.000327869
2,65.5839,1.55075,0.89637,1.27566,0.85623,0.93819,0.93734,0.53963,1.41996,0.77016,1.34751,0.0345408,0.000661041,0.000661041
3,91.4724,1.51182,0.83407,1.26241,0.88919,0.9726,0.98222,0.5148,1.5666,0.75197,1.44934,0.00154001,0.000993564,0.000993564
4,117.089,1.52533,0.86591,1.26307,0.93344,0.89041,0.96884,0.51651,1.53709,0.89402,1.41015,0.000997803,0.000997803,0.000997803
5,142.686,1.48903,0.85559,1.24935,0.89477,0.93836,0.96739,0.56992,1.40359,0.77703,1.30817,0.000996097,0.000996097,0.000996097
6,168.286,1.48835,0.80835,1.23795,0.90979,0.91096,0.95826,0.50443,1.49714,0.76545,1.35884,0.000993906,0.000993906,0.000993906
7,193.841,1.47085,0.75655,1.23789,0.89127,0.95444,0.96776,0.54671,1.36541,0.70119,1.26704,0.000991232,0.000991232,0.000991232
8,219.474,1.47736,0.79479,1.25051,0.91433,0.9589,0.97281,0.51996,1.53045,0.74262,1.38754,0.000988079,0.000988079,0.000988079
9,245.076,1.4863,0.79603,1.24362,0.9567,0.90795,0.97752,0.50144,1.55885,0.69593,1.3817,0.000984449,0.000984449,0.000984449
10,270.673,1.46132,0.73648,1.22094,0.94992,0.94521,0.97971,0.59202,1.42237,0.66619,1.30833,0.000980345,0.000980345,0.000980345
11,296.427,1.43479,0.72972,1.21986,0.90847,0.90411,0.96708,0.55247,1.44565,0.73728,1.31106,0.000975773,0.000975773,0.000975773
12,322.049,1.44271,0.72178,1.20909,0.92818,0.93836,0.98325,0.59405,1.42716,0.63682,1.31474,0.000970736,0.000970736,0.000970736
13,347.664,1.43633,0.72411,1.19456,0.91135,0.98578,0.98382,0.59952,1.41409,0.61164,1.26977,0.000965239,0.000965239,0.000965239
14,373.214,1.44174,0.71907,1.21548,0.91291,0.9726,0.97781,0.59838,1.40599,0.64752,1.2772,0.000959289,0.000959289,0.000959289
15,398.909,1.40721,0.70038,1.18851,0.91411,0.93151,0.97812,0.58676,1.48255,0.64461,1.34894,0.000952889,0.000952889,0.000952889
16,424.428,1.39494,0.70564,1.19188,0.91934,0.93684,0.97958,0.58854,1.39542,0.60929,1.26864,0.000946048,0.000946048,0.000946048
17,450.308,1.40177,0.69895,1.17889,0.91846,0.92584,0.97869,0.53432,1.5442,0.65256,1.38885,0.000938772,0.000938772,0.000938772
18,475.867,1.38749,0.6937,1.16985,0.9377,0.96575,0.98039,0.56806,1.45915,0.6267,1.31985,0.000931067,0.000931067,0.000931067
19,501.405,1.38771,0.68863,1.18189,0.9331,0.95536,0.98511,0.61771,1.3745,0.5824,1.27698,0.000922942,0.000922942,0.000922942
20,526.818,1.37673,0.67943,1.18431,0.91648,0.97711,0.98418,0.60218,1.41332,0.61301,1.31479,0.000914405,0.000914405,0.000914405
21,552.318,1.38604,0.69217,1.18931,0.92471,0.95205,0.98463,0.61042,1.37556,0.66672,1.26789,0.000905463,0.000905463,0.000905463
22,577.815,1.3912,0.67087,1.18193,0.93557,0.94521,0.98576,0.60568,1.3836,0.57726,1.25756,0.000896127,0.000896127,0.000896127
23,603.354,1.38436,0.67923,1.20127,0.92653,0.94521,0.98373,0.5776,1.42516,0.61786,1.2756,0.000886404,0.000886404,0.000886404
24,628.891,1.3677,0.67043,1.17879,0.98501,0.9,0.98548,0.60195,1.38062,0.57403,1.25351,0.000876305,0.000876305,0.000876305
25,654.547,1.37117,0.67453,1.1717,0.92365,0.96575,0.985,0.60926,1.36326,0.56199,1.25401,0.000865839,0.000865839,0.000865839
26,680.144,1.3464,0.6392,1.18023,0.94498,0.94109,0.9831,0.60268,1.38277,0.60382,1.26701,0.000855018,0.000855018,0.000855018
27,705.741,1.36269,0.6738,1.18127,0.94505,0.94234,0.9747,0.59426,1.41251,0.63198,1.2832,0.000843851,0.000843851,0.000843851
28,731.171,1.37987,0.64876,1.1942,0.95299,0.97192,0.98781,0.61924,1.33838,0.57082,1.25661,0.000832349,0.000832349,0.000832349
29,756.727,1.31952,0.63825,1.16742,0.91761,0.95205,0.97167,0.5896,1.37565,0.59137,1.27099,0.000820525,0.000820525,0.000820525
30,782.232,1.32876,0.64436,1.16026,0.9705,0.90411,0.98202,0.6173,1.36742,0.57167,1.276,0.000808389,0.000808389,0.000808389
31,807.794,1.31129,0.6349,1.16569,0.92421,0.95205,0.98572,0.60117,1.35601,0.56904,1.25742,0.000795954,0.000795954,0.000795954
32,833.41,1.33016,0.62796,1.15033,0.95218,0.95461,0.98581,0.61491,1.36857,0.56906,1.27566,0.000783231,0.000783231,0.000783231
33,859.09,1.35549,0.63984,1.16936,0.96855,0.92466,0.98278,0.61031,1.42276,0.59169,1.28307,0.000770234,0.000770234,0.000770234
34,884.671,1.3393,0.64043,1.16104,0.97825,0.92434,0.98747,0.63321,1.32958,0.54677,1.24552,0.000756976,0.000756976,0.000756976
35,910.305,1.32667,0.61219,1.15509,0.94583,0.9589,0.98279,0.61842,1.34636,0.53788,1.24769,0.000743468,0.000743468,0.000743468
36,935.87,1.31359,0.60748,1.14996,0.94476,0.93707,0.98454,0.59711,1.39725,0.57807,1.28435,0.000729725,0.000729725,0.000729725
37,961.275,1.28882,0.6089,1.14421,0.95201,0.95121,0.97343,0.60823,1.3777,0.60918,1.25591,0.000715761,0.000715761,0.000715761
38,986.845,1.30431,0.59132,1.138,0.94282,0.95205,0.98143,0.6266,1.3466,0.54914,1.24921,0.000701588,0.000701588,0.000701588
39,1012.49,1.30428,0.59648,1.15002,0.96666,0.91781,0.98579,0.62456,1.37092,0.57147,1.27477,0.000687222,0.000687222,0.000687222
40,1038.09,1.27961,0.59299,1.13444,0.91291,0.96575,0.9731,0.61607,1.37545,0.58525,1.2717,0.000672675,0.000672675,0.000672675
41,1063.59,1.28584,0.58717,1.13816,0.93908,0.95022,0.9837,0.62719,1.35185,0.56796,1.25342,0.000657963,0.000657963,0.000657963
42,1089.07,1.29834,0.58596,1.14126,0.97803,0.93151,0.98283,0.63193,1.36188,0.62982,1.25566,0.000643101,0.000643101,0.000643101
43,1115.27,1.29618,0.58259,1.14416,0.95747,0.92517,0.98327,0.62284,1.38263,0.54976,1.27072,0.000628101,0.000628101,0.000628101
44,1141.27,1.27138,0.58864,1.13697,0.93998,0.95205,0.98504,0.63134,1.34989,0.57403,1.26188,0.000612981,0.000612981,0.000612981
