epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.8251,1.81413,2.11592,1.31537,0,0,0,0,1.54531,4.98187,1.21633,0.067541,0.000327869,0.000327869
2,63.6523,1.58558,1.08984,1.22932,0.9329,0.66665,0.85746,0.40561,1.77844,1.98361,1.55325,0.0345408,0.000661041,0.000661041
3,87.5322,1.53331,0.94712,1.26738,0.88899,0.93245,0.97558,0.54912,1.51945,0.82585,1.36925,0.00154001,0.000993564,0.000993564
4,111.106,1.55147,0.95864,1.25758,0.94561,0.93151,0.97392,0.55181,1.49148,0.80729,1.34893,0.000997803,0.000997803,0.000997803
5,134.743,1.53013,0.90677,1.25465,0.93829,0.93723,0.9816,0.57395,1.45234,0.74286,1.31736,0.000996097,0.000996097,0.000996097
6,158.367,1.50296,0.87026,1.23354,0.93636,0.907,0.97506,0.55512,1.4869,0.73636,1.33092,0.000993906,0.000993906,0.000993906
7,181.962,1.48088,0.85111,1.22719,0.94512,0.94371,0.98522,0.56533,1.45587,0.77924,1.30897,0.000991232,0.000991232,0.000991232
8,205.595,1.46713,0.80574,1.22534,0.80153,0.86986,0.85697,0.44804,1.60251,0.9201,1.40325,0.000988079,0.000988079,0.000988079
9,229.211,1.467,0.81244,1.22473,0.93922,0.93151,0.97509,0.57473,1.45406,0.69637,1.34751,0.000984449,0.000984449,0.000984449
10,252.832,1.4758,0.8032,1.22123,0.87178,0.97794,0.97605,0.54987,1.46966,0.72335,1.35592,0.000980345,0.000980345,0.000980345
11,276.541,1.46118,0.77948,1.22858,0.93945,0.9726,0.98705,0.58876,1.4296,0.64613,1.29945,0.000975773,0.000975773,0.000975773
12,300.227,1.44233,0.79893,1.21227,0.95004,0.91167,0.98387,0.58755,1.42315,0.68863,1.30345,0.000970736,0.000970736,0.000970736
13,324.019,1.45106,0.77562,1.1981,0.91301,0.92466,0.97421,0.55876,1.47208,0.7254,1.33557,0.000965239,0.000965239,0.000965239
14,348.13,1.43634,0.75285,1.22386,0.95787,0.93431,0.97456,0.57908,1.39777,0.70028,1.28628,0.000959289,0.000959289,0.000959289
15,372.71,1.47798,0.76107,1.21166,0.95207,0.95243,0.98839,0.59628,1.40442,0.60638,1.27645,0.000952889,0.000952889,0.000952889
16,396.995,1.43999,0.7483,1.2088,0.90769,0.9726,0.97857,0.58577,1.40832,0.63144,1.28465,0.000946048,0.000946048,0.000946048
17,421.019,1.41553,0.75853,1.17928,0.8752,0.96071,0.95228,0.51828,1.50049,0.66979,1.33731,0.000938772,0.000938772,0.000938772
18,445.223,1.40956,0.72164,1.17071,0.94586,0.91781,0.96949,0.54188,1.50759,0.67301,1.38161,0.000931067,0.000931067,0.000931067
19,469.765,1.41067,0.71297,1.19277,0.93291,0.9726,0.98831,0.58237,1.38626,0.60821,1.27242,0.000922942,0.000922942,0.000922942
20,493.801,1.40441,0.72367,1.1881,0.93939,0.95545,0.97462,0.57511,1.48003,0.63296,1.30919,0.000914405,0.000914405,0.000914405
21,518.097,1.41834,0.73207,1.20118,0.93898,0.94852,0.98559,0.60591,1.39753,0.59542,1.29562,0.000905463,0.000905463,0.000905463
22,542.628,1.41157,0.7086,1.18465,0.93187,0.92466,0.97496,0.5893,1.40964,0.61733,1.28032,0.000896127,0.000896127,0.000896127
23,566.975,1.42336,0.71812,1.20176,0.92866,0.95205,0.98121,0.59051,1.40545,0.62776,1.27914,0.000886404,0.000886404,0.000886404
24,591.215,1.39325,0.70833,1.18891,0.93201,0.93888,0.98495,0.59513,1.40671,0.62884,1.27199,0.000876305,0.000876305,0.000876305
