epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.5859,1.77827,2.02559,1.39736,1,0.05479,0.52738,0.3566,1.43258,4.35316,1.30281,0.067541,0.000327869,0.000327869
2,58.2277,1.55204,1.12718,1.2754,0.92124,0.88131,0.93823,0.52998,1.48496,1.29766,1.35147,0.0345408,0.000661041,0.000661041
3,81.4479,1.49834,0.97613,1.25103,0.93985,0.96316,0.97463,0.54969,1.48431,0.92099,1.35909,0.00154001,0.000993564,0.000993564
4,104.849,1.53677,0.94727,1.29147,0.90955,0.96424,0.97794,0.57018,1.44033,0.79472,1.30854,0.000997803,0.000997803,0.000997803
5,127.938,1.51582,0.92858,1.25809,0.95503,0.91096,0.9817,0.56859,1.45981,0.78525,1.35017,0.000996097,0.000996097,0.000996097
6,151.496,1.48912,0.86624,1.25065,0.97808,0.91705,0.98709,0.56947,1.44101,0.7163,1.33361,0.000993906,0.000993906,0.000993906
7,175.16,1.46419,0.82321,1.2257,0.92516,0.93131,0.9755,0.55916,1.42019,0.76038,1.32022,0.000991232,0.000991232,0.000991232
8,198.953,1.47061,0.8677,1.25878,0.91191,0.92179,0.97937,0.5802,1.41707,0.84326,1.29681,0.000988079,0.000988079,0.000988079
9,222.646,1.4343,0.82421,1.21204,0.92209,0.97273,0.98265,0.59324,1.38253,0.63972,1.28204,0.000984449,0.000984449,0.000984449
10,246.224,1.44998,0.82793,1.23402,0.93478,0.98169,0.9872,0.58711,1.43367,0.66288,1.3145,0.000980345,0.000980345,0.000980345
11,269.961,1.47342,0.8025,1.23253,0.95846,0.94815,0.98495,0.60235,1.4402,0.71606,1.30355,0.000975773,0.000975773,0.000975773
12,293.507,1.44236,0.78147,1.21731,0.95835,0.92466,0.98289,0.57233,1.4675,0.66723,1.34222,0.000970736,0.000970736,0.000970736
13,317.062,1.44457,0.78508,1.23629,0.96056,0.94521,0.98566,0.58871,1.39667,0.64372,1.27084,0.000965239,0.000965239,0.000965239
14,340.507,1.42936,0.77051,1.22215,0.93362,0.96342,0.98187,0.57846,1.43424,0.6586,1.31412,0.000959289,0.000959289,0.000959289
15,364.183,1.41435,0.76749,1.21156,0.9468,0.97526,0.98479,0.5646,1.45197,0.62572,1.30452,0.000952889,0.000952889,0.000952889
16,387.826,1.39442,0.75429,1.1789,0.95803,0.9589,0.9897,0.58598,1.4095,0.60807,1.28117,0.000946048,0.000946048,0.000946048
17,411.69,1.41822,0.73189,1.19565,0.95181,0.947,0.98898,0.60277,1.41399,0.64188,1.30608,0.000938772,0.000938772,0.000938772
18,435.641,1.46257,0.76077,1.22943,0.92486,0.9726,0.98545,0.56926,1.39257,0.67386,1.27859,0.000931067,0.000931067,0.000931067
19,459.516,1.41656,0.74332,1.19813,0.96518,0.93151,0.98829,0.58779,1.40835,0.62034,1.28177,0.000922942,0.000922942,0.000922942
20,483.513,1.39975,0.73784,1.19232,0.96719,0.93836,0.98598,0.60184,1.39814,0.59135,1.28226,0.000914405,0.000914405,0.000914405
21,507.503,1.38699,0.69445,1.20958,0.9427,0.94521,0.98248,0.59068,1.39741,0.60508,1.2727,0.000905463,0.000905463,0.000905463
22,531.388,1.38711,0.70582,1.18186,0.94072,0.97822,0.98462,0.59912,1.38434,0.58338,1.26948,0.000896127,0.000896127,0.000896127
23,555.757,1.36307,0.71409,1.18294,0.98209,0.90411,0.98422,0.60638,1.36269,0.62941,1.25942,0.000886404,0.000886404,0.000886404
24,580.178,1.38859,0.7021,1.19159,0.93063,0.9863,0.98735,0.58297,1.44425,0.58842,1.27612,0.000876305,0.000876305,0.000876305
25,604.368,1.39115,0.70893,1.18632,0.93988,0.96367,0.9884,0.58167,1.47799,0.60415,1.31962,0.000865839,0.000865839,0.000865839
26,628.712,1.3977,0.6916,1.19371,0.94547,0.95004,0.98102,0.58813,1.41293,0.6021,1.2819,0.000855018,0.000855018,0.000855018
27,652.884,1.39062,0.7011,1.18366,0.95856,0.9505,0.97992,0.6082,1.38252,0.6986,1.2673,0.000843851,0.000843851,0.000843851
28,675.906,1.39501,0.69874,1.18597,0.94491,0.93977,0.98653,0.61334,1.37964,0.56429,1.27214,0.000832349,0.000832349,0.000832349
29,698.941,1.36999,0.69035,1.18065,0.92015,0.9863,0.98676,0.58488,1.40967,0.58711,1.2911,0.000820525,0.000820525,0.000820525
30,722.548,1.3679,0.67902,1.1667,0.92931,0.99049,0.98854,0.5979,1.45016,0.59431,1.28584,0.000808389,0.000808389,0.000808389
31,746.301,1.37341,0.70216,1.17058,0.93672,0.9589,0.98841,0.60151,1.42579,0.57612,1.28272,0.000795954,0.000795954,0.000795954
32,770.149,1.38136,0.70985,1.16987,0.96145,0.92466,0.98806,0.58804,1.4542,0.57587,1.30193,0.000783231,0.000783231,0.000783231
33,793.892,1.38407,0.67595,1.19642,0.94627,0.96499,0.98934,0.58686,1.45302,0.55754,1.31869,0.000770234,0.000770234,0.000770234
34,817.365,1.33682,0.68418,1.16728,0.95878,0.9589,0.98919,0.6149,1.37927,0.5681,1.27194,0.000756976,0.000756976,0.000756976
35,840.986,1.35964,0.68529,1.17889,0.93524,0.9892,0.9903,0.61392,1.36261,0.56193,1.27078,0.000743468,0.000743468,0.000743468
36,864.297,1.33437,0.69457,1.16898,0.95393,0.95205,0.98906,0.62615,1.38801,0.65013,1.25153,0.000729725,0.000729725,0.000729725
37,887.664,1.35648,0.65638,1.18243,0.94526,0.94612,0.98651,0.6033,1.34027,0.5749,1.23341,0.000715761,0.000715761,0.000715761
38,911.131,1.35496,0.65459,1.16615,0.95933,0.96941,0.98858,0.62211,1.34862,0.57121,1.24841,0.000701588,0.000701588,0.000701588
39,934.998,1.34011,0.65594,1.17287,0.95249,0.97945,0.99102,0.6115,1.33766,0.52671,1.25378,0.000687222,0.000687222,0.000687222
40,958.58,1.31073,0.65286,1.14284,0.97922,0.96808,0.99175,0.62355,1.34567,0.52119,1.24959,0.000672675,0.000672675,0.000672675
41,982.104,1.33185,0.63589,1.16641,0.96569,0.96397,0.98998,0.58944,1.40015,0.52871,1.27434,0.000657963,0.000657963,0.000657963
42,1006.07,1.31764,0.63689,1.14936,0.95982,0.98164,0.99171,0.59808,1.45307,0.5687,1.28149,0.000643101,0.000643101,0.000643101
43,1030.16,1.31364,0.64469,1.14878,0.94708,0.98073,0.99048,0.60643,1.38632,0.53605,1.27347,0.000628101,0.000628101,0.000628101
44,1054.16,1.33353,0.64077,1.17287,0.9399,0.97945,0.9905,0.61098,1.37779,0.51977,1.27398,0.000612981,0.000612981,0.000612981
45,1078.68,1.3247,0.62413,1.15754,0.93466,0.9863,0.99011,0.62474,1.36146,0.5225,1.24618,0.000597754,0.000597754,0.000597754
46,1102.97,1.32507,0.63918,1.1576,0.96576,0.94521,0.98991,0.58396,1.49065,0.54832,1.33604,0.000582435,0.000582435,0.000582435
47,1127.58,1.33306,0.64412,1.1642,0.97943,0.93151,0.99051,0.60525,1.41607,0.56301,1.28293,0.00056704,0.00056704,0.00056704
48,1151.93,1.29688,0.61978,1.15636,0.9398,0.97945,0.9882,0.61147,1.38104,0.5524,1.25539,0.000551584,0.000551584,0.000551584
49,1175.94,1.31138,0.62978,1.15363,0.94173,0.99627,0.9913,0.58898,1.40905,0.53404,1.27715,0.000536081,0.000536081,0.000536081
50,1199.26,1.3036,0.61704,1.15295,0.9537,0.98751,0.99257,0.61978,1.34909,0.51472,1.24176,0.000520548,0.000520548,0.000520548
51,1223.16,1.28913,0.62042,1.139,0.95324,0.97752,0.98973,0.63138,1.36098,0.52274,1.26091,0.000505,0.000505,0.000505
52,1246.74,1.29642,0.61657,1.14391,0.94109,0.9847,0.9905,0.62625,1.36689,0.51048,1.26302,0.000489452,0.000489452,0.000489452
53,1270.31,1.2796,0.61495,1.13311,0.98326,0.93836,0.98922,0.61934,1.36311,0.52568,1.26801,0.000473919,0.000473919,0.000473919
54,1293.68,1.29011,0.61016,1.13505,0.97725,0.97945,0.99172,0.62268,1.37401,0.49863,1.26886,0.000458416,0.000458416,0.000458416
55,1317.2,1.284,0.60961,1.13052,0.97245,0.96708,0.99214,0.6138,1.3631,0.52333,1.24363,0.00044296,0.00044296,0.00044296
56,1340.91,1.27849,0.58569,1.15131,0.98584,0.95401,0.99243,0.62418,1.3837,0.5171,1.25332,0.000427565,0.000427565,0.000427565
57,1364.6,1.2834,0.5913,1.14675,0.95777,0.97945,0.99204,0.60701,1.37429,0.50829,1.24781,0.000412246,0.000412246,0.000412246
58,1388.42,1.25968,0.60125,1.11473,0.97186,0.94637,0.98991,0.61195,1.37128,0.51428,1.2458,0.000397019,0.000397019,0.000397019
