epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.541,1.8151,2.29804,1.43286,0.87177,0.86301,0.91178,0.49318,1.59404,0.97726,1.49726,0.067541,0.000327869,0.000327869
2,250.112,1.52983,0.93275,1.26476,0.85735,0.87671,0.87589,0.4652,1.5846,0.97652,1.53737,0.0345408,0.000661041,0.000661041
3,374.304,1.53598,0.90257,1.28221,0.89582,0.94233,0.95826,0.52079,1.52672,0.74332,1.41149,0.00154001,0.000993564,0.000993564
4,509.319,1.5048,0.86137,1.2628,0.87483,0.80137,0.88186,0.42425,1.76494,0.92795,1.51431,0.000997803,0.000997803,0.000997803
5,641.235,1.50735,0.88289,1.25954,0.89854,0.93151,0.97198,0.53145,1.53718,0.92458,1.39655,0.000996097,0.000996097,0.000996097
6,759.685,1.50969,0.81099,1.24611,0.82124,0.84958,0.88681,0.48935,1.45298,1.13515,1.33293,0.000993906,0.000993906,0.000993906
7,911.054,1.49035,0.79242,1.24264,0.9303,0.91421,0.9523,0.50117,1.54476,1.13557,1.35349,0.000991232,0.000991232,0.000991232
8,1016.95,1.51423,0.8111,1.26163,0.87434,0.84932,0.90129,0.45051,1.63452,0.87029,1.42702,0.000988079,0.000988079,0.000988079
9,1143.15,1.49278,0.84478,1.24761,0.95299,0.97204,0.98714,0.5725,1.42458,0.65348,1.31621,0.000984449,0.000984449,0.000984449
10,1255.07,1.47393,0.78835,1.22789,0.96341,0.90161,0.97657,0.54081,1.50846,0.66489,1.40092,0.000980345,0.000980345,0.000980345
11,1354.14,1.46277,0.76326,1.23023,0.85893,0.83411,0.88818,0.46666,1.54194,0.87319,1.37027,0.000975773,0.000975773,0.000975773
12,1468.74,1.46868,0.78398,1.23163,0.88706,0.96837,0.97557,0.53088,1.49936,0.65838,1.36073,0.000970736,0.000970736,0.000970736
13,1606.01,1.48066,0.75589,1.21514,0.89734,0.89802,0.95956,0.52963,1.46327,0.7208,1.34168,0.000965239,0.000965239,0.000965239
14,1755.04,1.44913,0.74818,1.22839,0.86534,0.9589,0.97467,0.55311,1.46197,0.64582,1.31588,0.000959289,0.000959289,0.000959289
15,1852.94,1.4812,0.77016,1.22068,0.95056,0.95205,0.97756,0.57805,1.44178,0.6241,1.30641,0.000952889,0.000952889,0.000952889
16,1953.13,1.44114,0.75795,1.21896,0.92593,0.93151,0.97834,0.55522,1.4485,0.65502,1.30119,0.000946048,0.000946048,0.000946048
17,2103.16,1.4352,0.75067,1.19656,0.86843,0.93151,0.9139,0.41541,1.76061,0.74696,1.5572,0.000938772,0.000938772,0.000938772
18,2255.02,1.44629,0.73629,1.19693,0.88184,0.9726,0.97827,0.58302,1.38957,0.60837,1.28231,0.000931067,0.000931067,0.000931067
19,2370.46,1.41642,0.70375,1.19586,0.89311,0.95205,0.97719,0.58937,1.38539,0.606,1.27486,0.000922942,0.000922942,0.000922942
20,2472.14,1.40185,0.70465,1.19437,0.93394,0.93151,0.98352,0.59811,1.40266,0.6175,1.29823,0.000914405,0.000914405,0.000914405
21,2639.26,1.41098,0.72246,1.20421,0.92801,0.93836,0.97723,0.58309,1.39602,0.63934,1.30347,0.000905463,0.000905463,0.000905463
22,2795.02,1.39621,0.70035,1.19231,0.90364,0.96346,0.97922,0.59498,1.41843,0.61429,1.29923,0.000896127,0.000896127,0.000896127
23,2894.31,1.40768,0.71687,1.20491,0.93963,0.94521,0.97931,0.59577,1.36371,0.57799,1.25743,0.000886404,0.000886404,0.000886404
24,2994.24,1.38348,0.70582,1.18472,0.92158,0.93836,0.9812,0.58781,1.37613,0.59655,1.2685,0.000876305,0.000876305,0.000876305
25,3153.99,1.36987,0.68424,1.17409,0.92004,0.9589,0.9683,0.57975,1.41024,0.61238,1.28704,0.000865839,0.000865839,0.000865839
26,3315.39,1.37586,0.67383,1.20195,0.88819,0.97936,0.97113,0.57935,1.41731,0.58382,1.28648,0.000855018,0.000855018,0.000855018
27,3423.55,1.38941,0.69995,1.19081,0.91197,0.92242,0.97164,0.60232,1.38043,0.64927,1.27041,0.000843851,0.000843851,0.000843851
28,3526.35,1.38867,0.66867,1.20263,0.89661,0.97945,0.98109,0.61915,1.33401,0.58402,1.26499,0.000832349,0.000832349,0.000832349
29,3694.09,1.33489,0.65673,1.17509,0.92454,0.89041,0.95988,0.56991,1.41695,0.64296,1.31315,0.000820525,0.000820525,0.000820525
30,3857.49,1.35515,0.67047,1.17282,0.93441,0.93836,0.97918,0.59336,1.35741,0.58241,1.27766,0.000808389,0.000808389,0.000808389
31,3963.87,1.35921,0.67086,1.18755,0.94443,0.91781,0.98089,0.59214,1.37911,0.58977,1.26824,0.000795954,0.000795954,0.000795954
32,4061.86,1.37019,0.64094,1.1713,0.92737,0.96204,0.9834,0.62477,1.34923,0.59472,1.26416,0.000783231,0.000783231,0.000783231
33,4200.68,1.36494,0.66784,1.18075,0.92892,0.96575,0.98602,0.60774,1.37786,0.5542,1.2827,0.000770234,0.000770234,0.000770234
34,4343.68,1.36366,0.64708,1.17649,0.96489,0.94124,0.98668,0.62539,1.32074,0.54191,1.24962,0.000756976,0.000756976,0.000756976
35,4448.48,1.36503,0.62637,1.17053,0.94533,0.96575,0.98685,0.61688,1.34736,0.52999,1.25625,0.000743468,0.000743468,0.000743468
36,4548.17,1.33441,0.64352,1.16139,0.93957,0.95839,0.98533,0.62235,1.32101,0.54967,1.23332,0.000729725,0.000729725,0.000729725
37,4712.57,1.31021,0.63925,1.15279,0.93004,0.91058,0.97724,0.60404,1.33079,0.59503,1.2386,0.000715761,0.000715761,0.000715761
