epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1187.77,1.29884,0.60687,1.14531,0.97159,0.92466,0.98545,0.60686,1.39545,0.54392,1.26624,0.000643101,0.000643101,0.000643101
43,1215.71,1.30874,0.60738,1.14675,0.96285,0.93836,0.98139,0.61286,1.38394,0.53303,1.27367,0.000628101,0.000628101,0.000628101
44,1243.33,1.28247,0.59102,1.15139,0.96253,0.93836,0.98943,0.62055,1.40962,0.52768,1.28109,0.000612981,0.000612981,0.000612981
45,1271.24,1.30859,0.58675,1.15214,0.90866,0.95396,0.9792,0.61948,1.35354,0.55009,1.24589,0.000597754,0.000597754,0.000597754
46,1298.81,1.31158,0.60517,1.15645,0.93183,0.96575,0.98392,0.61133,1.37811,0.54303,1.27357,0.000582435,0.000582435,0.000582435
47,1326.69,1.29978,0.62756,1.15863,0.96389,0.95205,0.98732,0.6076,1.35029,0.52512,1.24876,0.00056704,0.00056704,0.00056704
48,1354.46,1.25754,0.59649,1.14713,0.95163,0.94521,0.98547,0.62554,1.35845,0.55969,1.25276,0.000551584,0.000551584,0.000551584
49,1382.09,1.27631,0.5959,1.14546,0.97818,0.95205,0.98894,0.62645,1.357,0.50796,1.23724,0.000536081,0.000536081,0.000536081
50,1409.71,1.27216,0.58333,1.14437,0.96492,0.94192,0.98619,0.62303,1.35051,0.5277,1.25486,0.000520548,0.000520548,0.000520548
51,1437.41,1.25768,0.58071,1.12974,0.9503,0.92466,0.98245,0.61044,1.35199,0.54362,1.25493,0.000505,0.000505,0.000505
52,1465.25,1.26336,0.58813,1.13313,0.95163,0.94521,0.98317,0.61281,1.37911,0.53966,1.28174,0.000489452,0.000489452,0.000489452
53,1493.03,1.25488,0.57349,1.1238,0.94004,0.96645,0.98812,0.62832,1.34847,0.53615,1.2715,0.000473919,0.000473919,0.000473919
54,1520.63,1.25332,0.57453,1.12535,0.96498,0.94354,0.97951,0.63495,1.33673,0.51711,1.24567,0.000458416,0.000458416,0.000458416
55,1548.32,1.23815,0.58638,1.12175,0.97026,0.94521,0.98809,0.6194,1.373,0.50901,1.26235,0.00044296,0.00044296,0.00044296
56,1576,1.23517,0.55544,1.13823,0.96382,0.94521,0.98559,0.62823,1.34163,0.51815,1.23811,0.000427565,0.000427565,0.000427565
57,1603.8,1.25032,0.55735,1.14146,0.94544,0.94955,0.98363,0.624,1.33477,0.5224,1.25157,0.000412246,0.000412246,0.000412246
58,1631.66,1.202,0.54904,1.09969,0.97009,0.93151,0.98675,0.63044,1.34551,0.51472,1.24458,0.000397019,0.000397019,0.000397019
59,1659.5,1.1913,0.547,1.10969,0.9399,0.96402,0.98514,0.62514,1.35172,0.53201,1.25973,0.000381899,0.000381899,0.000381899
60,1687.24,1.18962,0.5334,1.09763,0.94724,0.98383,0.98465,0.61186,1.35623,0.49035,1.25298,0.000366899,0.000366899,0.000366899
61,1715.09,1.20727,0.51882,1.11056,0.96509,0.94677,0.98682,0.63427,1.34059,0.48738,1.2502,0.000352037,0.000352037,0.000352037
62,1742.61,1.21891,0.54287,1.12182,0.95252,0.96191,0.98664,0.63041,1.33714,0.525,1.24772,0.000337325,0.000337325,0.000337325
63,1770.22,1.19445,0.53531,1.10952,0.95864,0.95258,0.98828,0.62174,1.38479,0.51433,1.26511,0.000322778,0.000322778,0.000322778
