epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.4263,1.77729,2.05982,1.35199,0,0,0,0,1.46923,4.7379,1.22566,0.067541,0.000327869,0.000327869
2,51.4569,1.5621,1.12138,1.26601,0.96097,0.82192,0.97224,0.57323,1.4434,1.6767,1.33342,0.0345408,0.000661041,0.000661041
3,70.3725,1.53328,0.9509,1.27162,0.93197,0.93825,0.98404,0.55603,1.52567,0.83748,1.41101,0.00154001,0.000993564,0.000993564
4,88.9922,1.50534,0.91061,1.26403,0.93389,0.96752,0.98311,0.58884,1.34362,0.73429,1.27949,0.000997803,0.000997803,0.000997803
5,107.722,1.48776,0.88609,1.24391,0.95111,0.93277,0.98167,0.59141,1.38169,0.74063,1.28993,0.000996097,0.000996097,0.000996097
6,126.437,1.47816,0.85022,1.22127,0.91128,0.91462,0.97271,0.57201,1.43371,0.71237,1.32591,0.000993906,0.000993906,0.000993906
7,145.266,1.45176,0.83959,1.22312,0.92122,0.93151,0.97714,0.57367,1.44622,0.71845,1.2965,0.000991232,0.000991232,0.000991232
8,164,1.46663,0.78985,1.23934,0.94997,0.94521,0.98349,0.59323,1.45863,0.74366,1.33096,0.000988079,0.000988079,0.000988079
9,182.78,1.46065,0.80314,1.22965,0.91659,0.97846,0.98423,0.60024,1.3805,0.69162,1.28274,0.000984449,0.000984449,0.000984449
10,201.205,1.46283,0.78081,1.21953,0.92959,0.9863,0.9782,0.57737,1.46131,0.65835,1.35212,0.000980345,0.000980345,0.000980345
11,219.717,1.44541,0.77754,1.22339,0.94005,0.96658,0.99105,0.58504,1.3985,0.67486,1.28232,0.000975773,0.000975773,0.000975773
12,238.104,1.44377,0.78591,1.20915,0.95711,0.91699,0.9822,0.58582,1.43992,0.66832,1.32019,0.000970736,0.000970736,0.000970736
13,256.507,1.39191,0.74097,1.17201,0.94801,0.93836,0.98223,0.62534,1.337,0.71775,1.25218,0.000965239,0.000965239,0.000965239
14,274.755,1.41114,0.7303,1.20776,0.93774,0.94521,0.97154,0.58567,1.42644,0.72715,1.30758,0.000959289,0.000959289,0.000959289
15,293.246,1.43442,0.75694,1.19284,0.92083,0.9589,0.98486,0.56735,1.49029,0.65106,1.36952,0.000952889,0.000952889,0.000952889
16,311.591,1.43977,0.75624,1.20681,0.96512,0.94747,0.98815,0.60309,1.40216,0.60778,1.27498,0.000946048,0.000946048,0.000946048
17,329.936,1.39051,0.74571,1.17595,0.909,0.9726,0.96399,0.58037,1.41092,0.63507,1.29301,0.000938772,0.000938772,0.000938772
18,348.345,1.388,0.72282,1.1581,0.9355,0.96575,0.98372,0.61118,1.36906,0.59326,1.27882,0.000931067,0.000931067,0.000931067
19,366.806,1.39081,0.69053,1.18081,0.94578,0.95575,0.98437,0.60686,1.3841,0.60498,1.26851,0.000922942,0.000922942,0.000922942
20,385.065,1.38187,0.70719,1.18395,0.9224,0.97695,0.97997,0.60332,1.41574,0.67698,1.29015,0.000914405,0.000914405,0.000914405
21,403.475,1.39609,0.70517,1.19334,0.93393,0.96826,0.97964,0.60804,1.41568,0.64816,1.29633,0.000905463,0.000905463,0.000905463
22,421.835,1.40055,0.68082,1.18036,0.92766,0.96618,0.98277,0.59532,1.40169,0.61584,1.28921,0.000896127,0.000896127,0.000896127
